,date,side,vwap,amt
71,2023-08-06 00:00:00+00:00,buy,1832.0428183581107,98925.86860265618
72,2023-08-07 00:00:00+00:00,buy,1824.6352151834285,276664.75911991665
73,2023-08-07 00:00:00+00:00,sell,1824.7715456879057,294419.81294825533
74,2023-08-08 00:00:00+00:00,buy,1847.9913677243433,305874.1752549473
75,2023-08-08 00:00:00+00:00,sell,1848.5651589497622,310036.30846431374
76,2023-08-09 00:00:00+00:00,sell,1856.8716135875425,228474.88202269305
77,2023-08-09 00:00:00+00:00,buy,1856.6776430971847,228585.96594446982
78,2023-08-10 00:00:00+00:00,buy,1853.3939448863023,154181.41482286862
79,2023-08-10 00:00:00+00:00,sell,1853.2923224872598,158153.42564430455
80,2023-08-11 00:00:00+00:00,buy,1847.7131090916102,144787.48858403345
81,2023-08-11 00:00:00+00:00,sell,1847.5029488901316,143619.68608831157
